"البيان","عدد القيود","إجمالي المصروف","أول تاريخ","آخر تاريخ"
"نوري","129","18385.00","2024-09-17","2026-09-05"
"انستا","110","288435.00","2025-07-20","2026-09-16"
"اوفو","64","8970.00","2025-02-05","2026-06-09"
"جولد أي","54","6530.00","2025-01-05","2026-09-17"
"جولد اي","49","5835.00","2024-08-31","2026-01-19"
"تعاقد الشروق","47","17040.00","2024-01-28","2026-09-07"
"أبو يوسف","43","22170.00","2025-08-24","2026-09-16"
"بالطوهات","40","8455.00","2024-01-10","2026-04-30"
"طه","40","5180.00","2024-07-21","2026-09-09"
"البنات","39","59850.00","2024-03-25","2026-06-27"
"صافي","37","7020.00","2025-04-22","2026-09-07"
"كهربا","35","43785.00","2024-01-20","2025-12-21"
"أبو عمر","33","52465.00","2024-08-11","2026-09-02"
"ايجار بطرس","32","851320.00","2024-01-02","2026-09-02"
"ايجار الشروق","30","583200.00","2024-01-04","2026-09-06"
"شاي","28","1577.00","2024-01-06","2026-07-27"
"النسبة","25","889213.00","2024-02-10","2026-09-10"
"فاتورة مياه","25","3645.00","2024-01-20","2026-08-23"
"شعاع","25","2820.00","2024-02-26","2026-09-15"
"سكر","24","1412.00","2024-02-06","2026-09-07"
"شاي وسكر","23","2727.00","2024-05-21","2026-09-01"
"شفت فني","22","3401.00","2025-06-16","2026-09-15"
"مواصلات الصواف","22","530.00","2024-05-20","2026-08-11"
"مرتبات","19","1112105.00","2024-06-30","2026-07-01"
"ابو يوسف","19","8270.00","2024-02-25","2025-12-23"
"منظفات","19","4336.00","2024-01-31","2026-08-01"
"الشناوي","16","12220.00","2025-07-30","2026-08-20"
"مواصلات طه الصواف","16","340.00","2024-06-24","2025-12-29"
"مكافأة د السعدني","15","215650.00","2024-06-10","2026-08-10"
"مواصلات الملفات","15","560.00","2026-01-19","2026-09-15"
"شهرية جاد","14","53000.00","2024-03-21","2026-07-15"
"كهرباء الدار","14","27440.00","2024-05-21","2026-07-15"
"شفت","14","2181.00","2025-08-11","2026-01-25"
"تحت حساب العيادة","13","262544.00","2024-03-02","2026-09-01"
"اورانج","13","3135.00","2024-01-04","2026-05-05"
"رضا","12","11610.00","2026-01-31","2026-08-23"
"اوردر السعدني","12","9520.00","2025-07-22","2025-11-06"
"د السعدني نقدا","11","79050.00","2024-02-25","2026-09-20"
"ام محمود","11","13600.00","2025-11-18","2026-07-28"
"عم سعيد البواب","10","10250.00","2024-02-01","2025-11-01"
"نت الشروق","10","2700.00","2024-02-28","2026-08-03"
"شعاع240","10","720.00","2024-01-31","2024-11-10"
"تأمينات","9","197010.00","2024-01-10","2026-07-22"
"د السعدني","9","38730.00","2024-01-04","2026-04-05"
"عم سعيد","9","11250.00","2025-10-01","2026-08-01"
"بالطوهات+مواصلات ابن سينا","9","4720.00","2026-01-01","2026-09-05"
"اوفو240","9","780.00","2024-02-14","2024-10-09"
"سكر 2 ك","9","695.00","2024-02-22","2025-12-21"
"شعاع120","9","660.00","2024-01-07","2024-12-09"
"المكافأة","8","117800.00","2024-05-09","2026-09-10"
"طرد مصطفى السعدني","8","5550.00","2024-05-24","2025-12-10"
"ابويوسف","8","2810.00","2025-03-12","2026-07-18"
"صيانة فلتر","8","1300.00","2024-01-08","2026-06-04"
"مواصلات ابن سينا","8","1070.00","2024-03-20","2026-06-07"
"اوفو120","8","720.00","2024-01-01","2024-11-07"
"اوفو180","8","660.00","2024-01-02","2024-10-03"
"اوفو300","8","540.00","2024-01-09","2024-10-10"
"شعاع180","8","540.00","2024-02-07","2024-12-10"
"عم سعيدالبواب","7","7000.00","2024-01-01","2024-12-31"
"ريهام","7","6900.00","2025-09-15","2026-08-17"
"دوا د السعدني","7","3513.00","2024-10-12","2025-10-12"
"اضافي صافي","7","3409.00","2024-01-10","2025-02-03"
"عصام","7","2030.00","2025-08-11","2026-08-24"
"شعاع300","7","420.00","2024-02-21","2024-10-31"
"شعاع60","7","420.00","2024-01-02","2024-11-06"
"المرتبات","6","346010.00","2024-01-01","2026-09-01"
"مرتب محمود","6","22000.00","2026-02-04","2026-08-02"
"اوردر الدكتوره","6","10825.00","2025-08-02","2026-01-20"
"البواب","6","6500.00","2024-05-01","2026-09-01"
"اوردر د السعدني","6","5920.00","2025-02-11","2025-10-23"
